slug,display_name,description,category,output_format,trigger_examples,source_path,github_url,skill_file_url,file_count,byte_size,tree_sha256
cv-updater,cv-updater,"Keeps Roger Basler de Roca's CV current and turns job advertisements, mandate briefs, role descriptions, grant calls, or opportunities into strong motivation letters grounded in Roger's profile. Use when the user asks to update, audit, refresh, synchronise, rewrite, version, or prepare Roger's CV, biography, application material, cover letter, or motivation letter. Always ask Roger before making, saving, publishing, submitting, sending, or syncing any CV or application change.",Lernen & Entwicklung,Markdown,"""cv updater"", ""Hilfe mit cv updater""",skills/cv-updater,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/cv-updater,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/cv-updater/SKILL.md,6,23481,040c7c527a77306db85e778465ca6f27924692598c1164fdf3cf61803458f656
data-backup-restoration,data-backup-restoration,"Official guidance for the August 2026 Manus data backup and restoration service change, including websites and mobile apps. Use when users ask whether they are affected, what will happen to their data or services, or how to back up or restore.",Recherche & Analyse,Markdown,"""data backup restoration"", ""Hilfe mit data backup restoration""",skills/data-backup-restoration,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/data-backup-restoration,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/data-backup-restoration/SKILL.md,3,30292,2907a4f9b771689efe8248a725e6688c3ea20d0d610e4c2c563eca6beab73fc2
designed-cv-word,designed-cv-word,"Erstellt professionell gestaltete CVs und Executive Profiles als Word-Dokumente. Verwenden bei: designten Lebenslauf erstellen, LinkedIn-Profil oder PDF in CV umwandeln, professionelles Word-CV layouten, Executive Bio/CV verdichten, Bewerbungsprofil oder Speaker-/Beraterprofil als DOCX erstellen.",Lernen & Entwicklung,Markdown,"""designed cv word"", ""Hilfe mit designed cv word""",skills/designed-cv-word,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/designed-cv-word,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/designed-cv-word/SKILL.md,3,14764,c295904905f5dc70fdd5d31e3c661e3f81a857cb3556387e766e031c4f6c5dae
ebook-html-pdf,ebook-html-pdf,"Workflow for creating premium A4 HTML eBooks and handouts that are exported as PDF. Use when the user asks for an eBook-like handout, PDF report, conference handout, executive guide, workbook, keynote companion, or visually designed document with cover, table of contents, chapter pages, callouts, prompt cards, workflows, resource links, sources, and final PDF export.",Lernen & Entwicklung,PDF,"""ebook html pdf"", ""Hilfe mit ebook html pdf""",skills/ebook-html-pdf,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/ebook-html-pdf,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/ebook-html-pdf/SKILL.md,4,22804,c01ea521a28a26155b9734d367536501b2e2e8e1b97b6ef2e8353f86b64cd820
finance-pro-playbooks,finance-pro-playbooks,"Comprehensive workflow guide for ANY finance, investing, or company analysis task. MUST read for: (1) General investment research — analyzing stocks/companies, reading earnings/filings, fetching financial data, or researching industries; (2) Professional IB/PE/VC tasks — valuation & modeling (DCF/LBO/comps), deal structuring, due diligence, M&A materials (teaser/CIM), and IC memos. Encodes professional data-sourcing rules (source hierarchy, fiscal-period discipline), silent industry defaults, and deliverable formatting standards; for finance Excel outputs its formats/excel_standards.md supersedes generic spreadsheet skills (e.g., excel-generator). DO NOT use for: quant trading system development, legal dispute calculations, or personal tax filing.",Finanzen,Markdown,"""finance pro playbooks"", ""Hilfe mit finance pro playbooks""",skills/finance-pro-playbooks,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/finance-pro-playbooks,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/finance-pro-playbooks/SKILL.md,12,707195,0747fd1f84cea9d62a0dfdcc1ef359425cb1778a0d7cd2cd93227f102a6b15b8
game-dev,game-dev,"Build playable browser games (Babylon.js) end-to-end using the godogen production pipeline adapted to Manus. Use when the user wants to make, generate, rebuild, or substantially extend a web/browser game from a natural-language brief. Runs godogen's staged workflow (visual target, risk decomposition, scaffold, architecture, asset generation, implementation, visual verification) but hosts the game in a Manus WebDev project, replaces godogen's paid art CLIs (Gemini/Grok/Tripo3D) with Manus built-in image generation, and deploys through WebDev Publish instead of temporary links.",Produktivität,Markdown,"""game dev"", ""Hilfe mit game dev""",skills/game-dev,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/game-dev,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/game-dev/SKILL.md,17,82461,6fa0dbabaa7ea6d430b3142e881b9c7dc1bb0cc78573ce72733d2b0115a0aea1
geo-audit-rezeptbuch,geo-audit-rezeptbuch,"Erstellt evidenzbasierte GEO-Analysen, technische Optimierungspläne und A4-PDF-Rezeptbücher für Firmen, KMU, B2B-Dienstleister, lokale Unternehmen, E-Commerce, Industrie, Professional Speaker und regulierte Branchen. Verwenden bei: GEO Analyse, Generative Engine Optimization, KI-Sichtbarkeit, AI Search Audit, AEO, ChatGPT-Suche optimieren, Google AI Mode, Google Search Console, Bing Webmaster Tools, IndexNow, Longtail Keywords, FAQ-Architektur, Schema Markup, robots.txt, Crawler-Policy oder GEO-Rezeptbuch. Verwenden auch bei: einfacher GEO-Plan, GEO in drei Stufen, GEO für Webmaster und Content, GEO Aufgaben verteilen, Webmaster-Checkliste oder Content-Checkliste nach GEO-Audit.",Produktivität,Markdown,"""geo audit rezeptbuch"", ""Hilfe mit geo audit rezeptbuch""",skills/geo-audit-rezeptbuch,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/geo-audit-rezeptbuch,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/geo-audit-rezeptbuch/SKILL.md,11,84126,65175ff9bfe405ab57f699f20f213c1ab6b1d8158da67c70ad377df5ad68b569
gws-best-practices,gws-best-practices,"Best practices for using the gws CLI with supported Google Workspace services (Drive, Docs, Sheets, Slides). Use when performing any operation with the gws CLI.",Produktivität,Markdown,"""gws best practices"", ""Hilfe mit gws best practices""",skills/gws-best-practices,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/gws-best-practices,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/gws-best-practices/SKILL.md,1,5241,ea66d72e32f2baa859da44fe0bb7dd19d7c04534475674fca2a89046ca98112b
imagegen,imagegen,"Use for visual deliverable routing and image generation/editing tasks, including new images, image edits, image upscaling/restoration/enhancement, UI mockups, diagrams, infographics, posters, icons, logos, charts, visual assets, and ambiguous visual requests. Helps choose between Mermaid, Python plotting, static layout/code screenshots, web/app development, and AI image generation/editing.",Kreativ & Design,Markdown,"""imagegen"", ""Hilfe mit imagegen""",skills/imagegen,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/imagegen,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/imagegen/SKILL.md,5,60461,c333525d676243c4e8eefea98af76fd9d0eec7bf97ea8fa7c64e03bc17e4278d
instagram-pink-baller-carousel,instagram-pink-baller-carousel,"Erstellt 10-Slide-Instagram-Carousel-Posts im hellrosa/weissen fragRoger Pink-Baller-Stil aus PDFs, Blog-Artikeln, Texten, URLs oder Notizen. Verwenden bei: Instagram Pink Carousel, hellrosa Carousel, pinke Baller-Slides, Content zu Instagram in Pink, PDF zu Instagram Carousel, Blog zu Pink Carousel, Roger Pink Stil, helle Instagram Slides mit starken Bildmotiven. Output: 10 Slide-Bilder im 4:5-Format mit bildstarken Baller-Motiven auf Slide 1-3 und Slide 9, bold-cinematischem Pink-Poster-Design, Caption, Review-Paket und optionales Posting nach expliziter Freigabe.",Kommunikation,Markdown,"""instagram pink baller carousel"", ""Hilfe mit instagram pink baller carousel""",skills/instagram-pink-baller-carousel,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/instagram-pink-baller-carousel,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/instagram-pink-baller-carousel/SKILL.md,2,30572,5b4e42aad2703333c65589d8c1afa3cebf2d6d50b65a529b59208e5f88279daf
linkedin-slides,linkedin-slides,"Creates 10-slide LinkedIn presentations (carousels) in Roger's ""White & Blue Graffiti"" style. Use when the user asks for: ""linkedin slides"", ""white and blue slides"", ""graffiti style linkedin"", ""Avenir font slides"", or ""create a linkedin carousel"". Output: 10 highly engaging slides with Hook, Problem, Solution, Facts, and CTA, using Avenir font, exported as PPTX or images.",Kommunikation,Markdown,"""linkedin slides"", ""Hilfe mit linkedin slides""",skills/linkedin-slides,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/linkedin-slides,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/linkedin-slides/SKILL.md,5,36061,f83c4a015dd80edf346141235f1c07e845dcff8047b0aa19ff2299e8c5e8c9be
lowpoly-triangles-ppt-template,lowpoly-triangles-ppt-template,"Erstellung und Bearbeitung von Präsentationen auf Basis der FT006 LowPoly-Triangles 16:9 PowerPoint-Vorlage mit konsequenter Sketchnote-Bildwelt und blauer Akzentfarbe. Verwenden, wenn der Nutzer die DEMO PPT Vorlage, LowPoly Triangles, FT006, weisse Dreiecks-Vorlage, PresentationLoad LowPoly Template, Sketchnote-Bildwelt, blaue Akzente oder eine Präsentation in genau diesem klaren geometrisch-handgezeichneten Look wünscht.",Produktivität,Markdown,"""lowpoly triangles ppt template"", ""Hilfe mit lowpoly triangles ppt template""",skills/lowpoly-triangles-ppt-template,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/lowpoly-triangles-ppt-template,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/lowpoly-triangles-ppt-template/SKILL.md,5,4066990,813ae3b9afba779715c33ba90b427661ddff4bfb6ff76f35b7cac26b09262e0d
manus-api,manus-api,"Manage tasks, projects, and other data through the Manus API; build OAuth2 Open Apps and third-party integrations; or create Manus tasks programmatically for services and workflows that need agentic capabilities.",Produktivität,Markdown,"""manus api"", ""Hilfe mit manus api""",skills/manus-api,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/manus-api,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/manus-api/SKILL.md,78,459894,fd9885626589818a2e06d2479de8d857fcf24636952ab9d68de3fd54b3e7e819
manus-config,manus-config,"Manage connectors (App, Custom API, Custom MCP), project instructions and shared files, and scheduled task execution with manus-config. Use when the user asks to enable, inspect, or modify integrations; create a new connector from an MCP server URL/command or an API key the user provides; inspect, update, or delete the user's own custom connectors; manage project-level configuration or shared project files; explicitly add, update, or remove shared project web links; or create, update, inspect, pause, expire, or troubleshoot scheduled tasks using cron, intervals, connector UIDs, or run-as-new behavior.",Produktivität,Markdown,"""manus config"", ""Hilfe mit manus config""",skills/manus-config,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/manus-config,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/manus-config/SKILL.md,1,19577,52c5aaf92b94ab7eb86210fe5027aaaa80eaf67642d5d93e0144d80ef9d37420
manus-pptx,manus-pptx,"Write slides using Manus's PPTX-specific XML syntax (a project-custom markup language, authored by AI and losslessly exportable to pptx). This document contains syntax information only, so do not read it until you are ready to start editing (e.g. not at session start or during the research phase).",Produktivität,Markdown,"""manus pptx"", ""Hilfe mit manus pptx""",skills/manus-pptx,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/manus-pptx,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/manus-pptx/SKILL.md,2,35238,85fa7ad27f7ee13bf0702242d4bcb8e1313e77e40c441c99fe80e4f5174154ac
music-prompter,music-prompter,"MUST read this skill BEFORE entering generate mode for music tasks. Covers prompt crafting framework, structure syntax, and multi-clip strategy.",Kreativ & Design,Markdown,"""music prompter"", ""Hilfe mit music prompter""",skills/music-prompter,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/music-prompter,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/music-prompter/SKILL.md,1,11731,baaa21669ab65458d92fbce5dc6dd028e94ba0f6165141305598b08b137b0849
notion-obsidian-backup,notion-obsidian-backup,"Automates a weekly backup of a Notion workspace to a local Obsidian vault as Markdown files. Use when the user asks to: back up Notion to Obsidian, export Notion as Markdown, sync Notion to Obsidian, or schedule a recurring Notion backup. Handles credential setup, script execution, and scheduling via cron or Manus scheduled task.",Recherche & Analyse,Markdown,"""notion obsidian backup"", ""Hilfe mit notion obsidian backup""",skills/notion-obsidian-backup,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/notion-obsidian-backup,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/notion-obsidian-backup/SKILL.md,3,10836,1773c37a49f35866402397a77450eab6b84f57a067186642b1e81256960c0c3f
persistent-computing,persistent-computing,"MUST read when user needs to run persistent services that WebDev or the default sandbox may not support (automation scripts, game servers, self-hosted open-source apps), or requires Docker, fixed IP, background jobs, heavy compute, or a reusable environment across sessions. MUST also read before develop/deploy any service on an attached persistent VM (Cloud Computer). Guides persistent computing solutions vs sandbox vs WebDev.",Produktivität,Markdown,"""persistent computing"", ""Hilfe mit persistent computing""",skills/persistent-computing,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/persistent-computing,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/persistent-computing/SKILL.md,5,30826,68a2fb69461a0c8bd60a94ce1b1112cb0b1f85a09b1a9998db69dbc83e631957
polymarket-trading-bot,polymarket-trading-bot,"Aufbau, Betrieb und Haertung eines Polymarket-Trading-Agenten mit Analyse, Paper-Trading, Risiko-Kontrollen und optionalem Live-Trading. Verwenden bei: Polymarket-Marktanalyse, Aufbau einer Trading-CLI, Entwicklung autonomer Agent-Loops, Einrichtung von Gamma-API- und CLOB-Workflows, Vorbereitung von Wallet- und L2-Credentials.",Finanzen,Markdown,"""polymarket trading bot"", ""Hilfe mit polymarket trading bot""",skills/polymarket-trading-bot,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/polymarket-trading-bot,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/polymarket-trading-bot/SKILL.md,5,15981,bd921e94f947cea0acc013677108fb0b3ee1f6a40ba3d24f63bcbcfd39150f1c
ramona-instagram-carousel,ramona-instagram-carousel,"Erstellt scroll-stoppende, binge-würdige 10-Slide-Instagram-Carousels im Ramona-Stil. Nutzt Psychologie, Storytelling und Neugier-Schleifen für maximale Saves, Shares und Kommentare. Verwenden, wenn der Nutzer ein hochgradig fesselndes Instagram Carousel (z.B. aus einem Blogbeitrag oder Notizen) erstellen möchte, das sich wie eine sich entfaltende Geschichte anfühlt.",Kommunikation,Markdown,"""ramona instagram carousel"", ""Hilfe mit ramona instagram carousel""",skills/ramona-instagram-carousel,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/ramona-instagram-carousel,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/ramona-instagram-carousel/SKILL.md,1,4770,7dd182c5bcd01a19f658f52e85e458331447d8af1c3c2fba176c22c0fba6594b
read-special-images,read-special-images,"Read and OCR unusually tall, wide, high-resolution, or text-dense images without hallucinating content lost to inline vision scaling. Use for long screenshots, panoramic images, large diagrams, dense documents, tiny unreadable text, or any image whose whole-image preview is not reliable; keep ordinary readable images unsplit.",Kreativ & Design,Markdown,"""read special images"", ""Hilfe mit read special images""",skills/read-special-images,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/read-special-images,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/read-special-images/SKILL.md,3,12298,b86cfd413edc2dd7d4d33c801082348b8135d703eaa6047c162c1c47d0623d8f
roger-book-english,roger-book-english,"Workflow for writing, translating, and formatting professional English-language non-fiction books by Roger Basler de Roca in BoD (Books on Demand) format. Use when writing or translating Roger's books into English, formatting an English manuscript for BoD 12x19cm, or ensuring internationally verified sources.",Lernen & Entwicklung,Markdown,"""roger book english"", ""Hilfe mit roger book english""",skills/roger-book-english,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/roger-book-english,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/roger-book-english/SKILL.md,3,17148,e9a6222ab67c5d210044b4f0d6dab75aee55dc2a3025d3b05dfcff307d6322a3
roger-book-german,roger-book-german,"Workflow for writing, revising, and formatting professional German-language non-fiction books by Roger Basler de Roca in BoD (Books on Demand) format. Use when writing or rewriting German book chapters, formatting a manuscript for BoD 12x19cm, or ensuring consistent author voice and factual accuracy.",Lernen & Entwicklung,Markdown,"""roger book german"", ""Hilfe mit roger book german""",skills/roger-book-german,https://github.com/rogerbasler/aktuelle-ki-news-website/tree/main/manus-skills/skills/roger-book-german,https://github.com/rogerbasler/aktuelle-ki-news-website/blob/main/manus-skills/skills/roger-book-german/SKILL.md,3,15776,ce317c7d65f8d7b69014b6b0b3a1b28f53ad374dc7e3a7c84973fb35eebc796c
